objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
1935,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1936,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1937,PBN,On Road,Proposed,No,SOMERTON,ROAD,5960, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1938,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1939,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1940,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1941,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1942,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1943,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1944,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1945,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1946,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1947,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1948,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1949,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1950,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1951,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1952,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1953,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1954,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1955,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1956,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1957,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1958,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1959,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1960,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1961,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1962,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1963,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1964,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1965,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1966,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1967,PBN & MTN,Off Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1968,PBN,On Road,Proposed,Yes,RIDDELL,ROAD,5291, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1969,PBN,On Road,Proposed,Yes,RIDDELL,ROAD,5291, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1970,PBN,On Road,Proposed,Yes,RIDDELL,ROAD,5291, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1971,PBN,On Road,Proposed,Yes,RIDDELL,ROAD,5291, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1972,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1973,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1974,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1975,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1976,PBN & MTN,On Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1977,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1978,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1979,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1980,PBN,On Road,Proposed,Yes,MACEDON,STREET,5826, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Sunbury to Sunbury South, 
1981,PBN & MTN,On Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1982,PBN & MTN,Off Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1983,PBN & MTN,Off Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1984,PBN & MTN,Off Road,Proposed,Yes,UNNAMED, ,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Broadmeadows to Mickleham, 
1985,PBN,On Road,Proposed,Yes,CRAIGIEBURN,ROAD,5106, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Craigieburn to Doreen, 
1986,PBN,On Road,Proposed,Yes,MICKLEHAM,ROAD,5820, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Gladstone Park to Mickleham, 
1987,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1988,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1989,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1990,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1991,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1992,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1993,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1994,PBN,On Road,Proposed,No,KOORNANG,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1995,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1996,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1997,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1998,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1999,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2000,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2001,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2002,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2003,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
